;video_id;hashtags;metric;threshold;network;filteredAnnotation;quantFilteredFrames
29;QjNGtjmyQ5c;#frevo;EPDNVP;0.2;YOLO;videoTest2/QjNGtjmyQ5c/QjNGtjmyQ5cFiltered.txt;1085
30;1yYntpEbJho;#frevo;EPDNVP;0.2;YOLO;videoTest2/1yYntpEbJho/1yYntpEbJhoFiltered.txt;2194
31;M7t9-ozjnEU;#frevo;EPDNVP;0.2;YOLO;videoTest2/M7t9-ozjnEU/M7t9-ozjnEUFiltered.txt;4
32;5gmWRD5ox5Y;#frevo;EPDNVP;0.2;YOLO;videoTest2/5gmWRD5ox5Y/5gmWRD5ox5YFiltered.txt;1827
33;xu9iZA0J7rg;#frevo;EPDNVP;0.2;YOLO;videoTest2/xu9iZA0J7rg/xu9iZA0J7rgFiltered.txt;2316
34;wMuJ02ksp14;#frevo;EPDNVP;0.2;YOLO;videoTest2/wMuJ02ksp14/wMuJ02ksp14Filtered.txt;221
35;ohUUljo_gHk;#frevo;EPDNVP;0.2;YOLO;videoTest2/ohUUljo_gHk/ohUUljo_gHkFiltered.txt;1614
36;vwto-Pi6-m4;#frevo;EPDNVP;0.2;YOLO;videoTest2/vwto-Pi6-m4/vwto-Pi6-m4Filtered.txt;318
37;6iB4W9FAPeU;#frevo;EPDNVP;0.2;YOLO;videoTest2/6iB4W9FAPeU/6iB4W9FAPeUFiltered.txt;563
38;ipHIZmSvZpg;#frevo;EPDNVP;0.2;YOLO;videoTest2/ipHIZmSvZpg/ipHIZmSvZpgFiltered.txt;289
39;46jD9XghP3k;#frevo;EPDNVP;0.2;YOLO;videoTest2/46jD9XghP3k/46jD9XghP3kFiltered.txt;795
40;rqPQFRdDLfw;#frevo;EPDNVP;0.2;YOLO;videoTest2/rqPQFRdDLfw/rqPQFRdDLfwFiltered.txt;802
41;hw45mbJRaaQ;#frevo;EPDNVP;0.2;YOLO;videoTest2/hw45mbJRaaQ/hw45mbJRaaQFiltered.txt;945
42;PmQwILQCEGU;#frevo;EPDNVP;0.2;YOLO;videoTest2/PmQwILQCEGU/PmQwILQCEGUFiltered.txt;3927
43;2D_k0XcIoFQ;#frevo;EPDNVP;0.2;YOLO;videoTest2/2D_k0XcIoFQ/2D_k0XcIoFQFiltered.txt;281
44;n8_e-DG2Uag;#frevo;EPDNVP;0.2;YOLO;videoTest2/n8_e-DG2Uag/n8_e-DG2UagFiltered.txt;522
45;OgZKnliedNc;#frevo;EPDNVP;0.2;YOLO;videoTest2/OgZKnliedNc/OgZKnliedNcFiltered.txt;1982
46;qzQFCewbUH0;#frevo;EPDNVP;0.2;YOLO;videoTest2/qzQFCewbUH0/qzQFCewbUH0Filtered.txt;919
47;_oBWZ5p5wFo;#frevo;EPDNVP;0.2;YOLO;videoTest2/_oBWZ5p5wFo/_oBWZ5p5wFoFiltered.txt;741
48;cJHzw1yDkwg;#frevo;EPDNVP;0.2;YOLO;videoTest2/cJHzw1yDkwg/cJHzw1yDkwgFiltered.txt;4398
49;iYksvzLAnpw;#frevo;EPDNVP;0.2;YOLO;videoTest2/iYksvzLAnpw/iYksvzLAnpwFiltered.txt;254
